 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
2009M06,51.14,51.06,105.74,48.94,57.43,33.23,86.19,74.83,87.61,98.49
2009M07,53.63,53.56,102.89,51.31,60.25,35.21,87.72,78.82,92.86,103.08
2009M08,52.95,52.92,90.43,50.59,54.93,36.18,85.29,76.02,94.22,100.49
2009M09,55.18,55.13,97.96,53.07,61.34,37.76,86.25,78.36,90.32,99.07
2009M10,56.19,56.12,102.49,54.33,63.4,38.92,85.56,80.72,84.95,101.52
2009M11,55.96,55.9,101.24,54.56,63.66,39.46,84.8,79.38,74.7,97.31
2009M12,58.79,58.72,118.61,57.19,71.53,39.07,90.61,90.75,80.69,100.22
2010M01,57.21,57.12,117.13,55.49,68.62,38.26,91.04,82.02,81.97,100.23
2010M02,50.49,50.41,100.86,48.85,54.4,35.69,78.51,69.59,75.18,89.63
2010M03,61.85,61.78,117.01,60.23,73.59,42.75,92.19,89.83,84.61,100.36
2010M04,62.36,62.27,123.11,61.01,72.95,44.18,92.41,88.14,78.79,96.97
2010M05,63.69,63.59,125.95,62.01,72.79,45.34,95.54,86.27,87.12,101.76
2010M06,64.36,64.27,127.61,62.65,74.16,46.29,94.04,85.31,88.7,98.6
2010M07,65.98,65.87,130.72,63.91,76.24,46.78,95.08,90.77,98.02,103.63
2010M08,64.34,64.22,134.62,62.23,75.46,46.21,90.22,83.61,96.82,103.79
2010M09,61.92,61.81,129.89,60.03,74.58,44.44,85.71,79.98,90.15,100.59
2010M10,62.8,62.69,131.92,61.07,77.57,43.95,89.75,85.18,86.73,103.69
2010M11,65.11,64.99,137.41,63.72,77.96,46.73,89.02,94.03,81.5,99.56
2010M12,67.58,67.45,145.22,66.21,86.93,46.6,92.67,102.29,82.68,102.57
2011M01,65.82,65.7,139.98,64.2,78.84,46.11,94.34,95.96,86.83,102.5
2011M02,55.87,55.79,103.77,54.4,64.26,41.32,79.89,69.36,76.12,91.57
2011M03,68.43,68.35,122.98,67.03,85.76,49.25,94.89,89.76,85.56,101.01
2011M04,65.31,65.22,123.68,64,78.18,47.78,89.91,89.19,80.52,98.19
2011M05,67.27,67.2,120.74,65.85,78.65,50.05,89.72,93.61,85.1,100.25
2011M06,65.55,65.48,117.72,63.73,78.76,47.99,85.97,89.71,92.92,99.66
2011M07,66.35,66.27,115.36,64.36,80.33,47.89,87.18,92.65,97.34,103.48
2011M08,64.95,64.89,108.88,62.99,80.58,47.05,82.52,89.64,95.74,103.37
2011M09,61.09,61.01,114.9,59.2,77.15,43.04,80.63,85.26,90,100.13
2011M10,63.13,63.07,107.44,61.43,77.71,44.71,85.45,90.19,87.91,102.7
2011M11,60.8,60.73,114.32,59.12,75.08,42.15,84.75,88.94,84.89,98.9
2011M12,60.74,60.65,127.95,59.04,79.88,40.39,83.54,93.14,84.45,101.91
2012M01,55.27,55.2,103.5,53.36,64.05,38.26,79.37,80.25,84.76,101.07
2012M02,59.64,59.56,110.55,58.04,74.12,40.95,85.86,82.11,82.73,93.1
2012M03,67.1,67,128.01,65.59,82.75,47.72,93.07,92.87,86.67,101.64
2012M04,64.93,64.82,130.17,63.6,78.28,47.45,89.66,87.85,80.7,97.77
2012M05,67.2,67.12,118.17,65.82,81.8,49.18,90.69,92.64,84.17,101.48
2012M06,63.54,63.46,109.93,61.85,77.32,46.96,82.32,86.29,88.35,98.76
2012M07,66.92,66.85,115.38,64.89,77.87,49.63,88.56,91.75,98.68,102.53
2012M08,67.48,67.42,106.98,65.56,77.25,50.22,89.94,94.6,97.38,101.45
2012M09,64.89,64.84,104.87,63.16,72.78,49.59,85.54,89.03,90.65,98.97
2012M10,66.64,66.58,109.24,65.11,77.81,49.57,90.72,90.85,87.53,102.07
2012M11,65.33,65.27,114.17,64.02,76.61,49.05,88.77,87.82,81.47,97.73
2012M12,63.77,63.69,126.29,62.25,77.46,45.65,88.35,88.27,83.49,99.94
2013M01,67,66.92,113.36,65.51,80.16,47.67,94.6,95.28,87.02,100.72
2013M02,54.76,54.7,91.7,53.39,60.34,41.25,79.37,69.2,73.34,91.77
2013M03,67.31,67.26,105.84,65.99,80.6,49.61,94.25,87.87,84.32,102.61
2013M04,66.07,66,112.7,64.7,76.56,50.9,88.63,84.23,84.05,98.12
2013M05,69.42,69.36,108.3,67.75,78.26,54.5,90.71,88.73,93.43,102.42
2013M06,67.15,67.08,111.18,65.44,75.07,53.31,86.01,85.65,92.1,100.76
2013M07,70.84,70.77,104.2,68.99,80.29,54.87,93.96,90.12,98.62,104.74
2013M08,69.35,69.3,98.9,67.41,78.39,53.94,90.81,87.93,99.33,103.96
2013M09,66.59,66.54,96.23,64.82,73.37,53.35,85.26,83.4,93.45,98.94
2013M10,68.44,68.4,100.33,66.92,79.34,53.35,89.07,87.11,89.93,100.95
2013M11,66.63,66.58,110.52,65.38,78.26,50.92,90.09,85.46,82.08,98.23
2013M12,69.53,69.48,111.72,68.33,83.11,53.02,94.49,87,83.6,101.84
2014M01,66.81,66.74,112.46,65.49,77.88,49.83,92.84,89.25,84.01,102.11
2014M02,59.88,59.86,80.29,58.69,68.56,46.76,83.63,68.35,76.36,89.48
2014M03,70.55,70.49,111.44,69.39,82.83,55.28,94.01,86.33,85.13,100.34
2014M04,70.57,70.51,113.06,69.56,83.46,56.59,90.06,86.15,82.36,98.12
2014M05,73.11,73.07,103.58,71.72,86.05,59.12,91.52,86.42,92.47,102.13
2014M06,72.78,72.74,101.51,71.17,83.93,59.15,91.62,84.25,96.32,101.59
2014M07,75.63,75.6,107.43,73.73,87.37,60.02,96.72,91.02,104.51,105.11
2014M08,75.1,75.05,109.42,73.35,82.55,61.83,94.68,89.36,101.04,104.63
2014M09,74.11,74.06,108.91,72.63,82.71,63.24,88.69,83.21,95.06,101.62
2014M10,75.98,75.93,114.33,74.9,86.76,63.89,93.88,86.5,89.13,103.63
2014M11,72.91,72.86,108.47,71.95,82.35,61.79,89.92,83.03,84.19,99.63
2014M12,75.79,75.73,113.27,74.93,91.6,61.51,93.35,92.57,84.87,102.95
2015M01,74.19,74.13,119.58,73.38,86.38,60.93,94.11,88.28,82.94,102.43
2015M02,62.06,62.03,90.17,61.2,66.56,52.27,83.08,67.53,72.52,91.22
2015M03,76.1,76.07,103.51,75.4,89.99,62.46,97.56,87.34,84.15,97.36
2015M04,72.32,72.27,101.54,71.52,84.77,58.78,94.47,83.52,82.01,92.22
2015M05,72.72,72.69,99.44,71.5,84.21,58.12,97.56,82.68,89.63,97.61
2015M06,72.75,72.72,97.37,71.03,84.62,57.69,94.38,85.24,98.22,98.99
2015M07,73.39,73.35,97.76,71.59,87.02,57.13,95.2,88.57,99.87,102.22
2015M08,70.29,70.28,86.14,68.4,78.18,56.3,90.81,84.68,98.62,101.47
