 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1993M05,-,26.62,-,25.37,46.59,6.44,46.81,111.63,42.78,73.78
1993M06,-,26.13,-,24.77,45.59,6.47,45.91,105.44,44.76,73.05
1993M07,-,27.52,-,25.91,47.99,6.6,47.25,113.74,51.09,77.45
1993M08,-,27.08,-,25.47,46.84,6.48,47.31,110.65,50.77,77.56
1993M09,-,26.74,-,25.39,45.4,6.72,47.42,108.74,45.35,74.48
1993M10,-,26.57,-,25.36,45.11,6.63,47.94,109.08,41.85,76.16
1993M11,-,26.26,-,25.14,45.24,6.67,47.08,106.89,39.95,73.13
1993M12,-,28.44,-,27.41,49.06,7.16,51.2,119.58,39.75,74.29
1994M01,-,26.47,-,25.34,44.78,6.4,48.02,114.87,39.24,72.63
1994M02,-,21.71,-,20.73,35.79,5.26,41.63,90.03,33.07,66.63
1994M03,-,28.36,-,27.22,48.47,7.31,51.27,116.14,41.24,73.09
1994M04,-,27.75,-,26.52,48.57,6.9,49.19,114.6,43.61,72.23
1994M05,-,28.23,-,26.81,48.9,7.22,49.94,112.36,48.14,74.45
1994M06,-,28.42,-,26.93,48.12,7.46,50.86,110.57,49.98,75.48
1994M07,-,28.11,-,26.46,48.6,7.1,48.74,111.95,53.37,80.36
1994M08,-,27.93,-,26.37,46.83,7.18,48.72,113.48,51.29,81.01
1994M09,-,28.03,-,26.63,47.8,7.39,48.86,112.08,47.27,81.33
1994M10,-,28.52,-,27.18,50.16,7.39,50.92,110.37,45.65,83.11
1994M11,-,29.57,-,28.35,51.74,7.94,52.72,114.12,43.5,80.63
1994M12,-,30.15,-,28.93,51.98,8.16,52.71,120.42,43.59,81.78
1995M01,-,28.02,-,26.83,48.55,7.23,50.04,113.01,41.4,82.45
1995M02,-,24.56,-,23.48,40.62,6.74,45.06,94.44,36.88,74.67
1995M03,-,31.24,-,30.03,53.75,8.92,54.31,119.19,44.54,80.29
1995M04,-,29.13,-,27.85,49.61,7.97,52.88,109.79,45.27,75.07
1995M05,-,31.11,-,29.71,54.01,8.69,54.47,116.05,50.36,74.96
1995M06,-,29.95,-,28.4,51.08,8.54,51.76,109.3,53.27,71.08
1995M07,-,29.75,-,28,51.13,8.29,50.3,109.83,56.77,81.99
1995M08,-,30,-,28.28,50.08,8.53,51.04,112.03,56.46,82.81
1995M09,-,29.28,-,27.7,49.91,8.53,49.29,106.2,52.36,79.8
1995M10,-,28.95,-,27.45,48.75,8.4,48.78,108.26,50.18,82.02
1995M11,-,29.38,-,28.11,49.4,8.61,50.76,110,44.88,78.77
1995M12,-,29.64,-,28.39,48.73,8.58,52.73,112.56,44.46,78.36
1996M01,29.62,29.53,227.68,28.25,49.36,8.31,53.19,111.57,48.34,75.54
1996M02,24.8,24.71,220.77,23.56,40.28,6.99,45.11,92.5,41.73,72.47
1996M03,29.68,29.58,243.43,28.25,50.44,8.67,51.18,107.89,49.53,76.25
1996M04,29.68,29.58,233.78,28.31,51.34,8.43,52.31,107.35,48.77,74.21
1996M05,30.88,30.78,213.57,29.36,53.29,8.83,53.82,110.95,53.43,75
1996M06,30.03,29.92,202.51,28.18,51,8.52,52.05,105.48,60.62,77.5
1996M07,30.71,30.61,201.67,28.7,50.92,8.54,53.82,110.3,65.24,80.28
1996M08,30.86,30.74,189.38,28.96,52.07,8.41,54.26,112.9,62.22,82.06
1996M09,30.09,29.99,191.22,28.26,48.83,8.73,52.72,107.73,60.05,82.92
1996M10,31.29,31.18,206.42,29.63,50.44,9.47,55.74,108.78,56.48,83.07
1996M11,31.73,31.63,210.02,30.26,52.97,9.7,56.02,108.85,52.93,77.27
1996M12,32.89,32.77,216.66,31.47,57.35,9.88,57.59,112.08,51.76,82.35
1997M01,31.4,31.29,222.31,29.92,53.99,8.73,56.65,113.96,51.93,81.63
1997M02,25.18,25.09,188.51,23.89,41.01,7.22,47.06,88.2,43.25,74.71
1997M03,32.89,32.77,228.67,31.37,56.04,9.82,57.97,114.02,53.84,68.66
1997M04,31.8,31.68,225.12,30.24,55.55,9.36,56.2,106.61,54.23,78.91
1997M05,33.09,32.97,240.8,31.32,58.24,9.63,57.65,110.92,60.69,77.51
1997M06,31.55,31.45,211.76,29.79,55.22,9.42,53.95,104.02,59.69,78.39
1997M07,32.95,32.84,204.63,30.91,56.17,9.79,56.76,108.88,67.13,83.23
1997M08,32.66,32.55,193.35,30.62,55.2,9.79,55.29,109.52,67.31,83.91
1997M09,32.58,32.47,198.98,30.78,54.88,10.45,54.43,105.08,61.04,84.26
1997M10,34.63,34.53,214.4,32.89,60.12,11.37,56.68,108.66,61.06,84.62
1997M11,33.52,33.41,202.42,31.97,57.96,11.22,54.94,104.42,55.67,82.29
1997M12,35.81,35.7,224.89,34.26,63.02,11.9,58.68,112.1,56.87,85.04
1998M01,29.36,29.24,202.13,27.82,49.16,8.85,52.15,98.19,51.9,85.08
1998M02,30.34,30.22,193.27,28.92,50.46,10.11,51.44,96.32,50.09,78.85
1998M03,34.19,34.05,212.89,32.59,58.21,11.29,57.44,107.83,57.02,84.38
1998M04,33.6,33.46,210.67,31.87,57.7,10.59,56.97,108.51,60.18,81.37
1998M05,33.42,33.28,200.73,31.46,56.84,10.53,56.56,105.67,65.88,78.61
1998M06,33.54,33.41,194.02,31.56,56.42,10.96,55.03,105.19,66.95,79.49
1998M07,34.01,33.88,200.57,31.69,57.06,10.84,54.59,109.12,74.76,86.17
1998M08,33.83,33.69,197.1,31.49,54.76,10.93,55.41,108.18,75.01,88.36
