 ,總指數,總指數(不含土石採取業),礦業及土石採取業,製造業,金屬機電工業,資訊電子工業,化學工業,民生工業,電力及燃氣供應業,用水供應業
1990M08,-,-1.46,-,-1.96,1.27,0.96,-3.14,-4.52,4.78,4.39
1990M09,-,0.8,-,0.37,4.02,5.13,1.67,-5.16,7.56,4.42
1990M10,-,2.69,-,2.33,2.07,3.75,3.9,0.73,8.39,4.22
1990M11,-,2.8,-,2.53,1.65,10.12,2.33,-0.46,9.08,3.23
1990M12,-,3.04,-,3.05,6.12,8.82,0.29,0.09,7.14,5.72
1991M01,-,15.43,-,15.39,20.92,22.98,14.25,7.83,18.14,3.53
1991M02,-,-8.22,-,-8.7,-10.17,-5.06,-5.81,-12.14,-2.64,3.83
1991M03,-,0.55,-,0,-2.04,5.43,-0.25,-0.99,7.21,5.2
1991M04,-,3.58,-,3.11,3.47,7.97,2.91,-0.4,9.39,6.59
1991M05,-,7.58,-,7.07,6.15,11.52,6.73,5.65,13.03,5.41
1991M06,-,5.57,-,4.89,4.07,4.44,5.61,5.22,12.1,6.54
1991M07,-,7.13,-,6.92,11.98,11.05,2.56,5.32,8.82,6.03
1991M08,-,8.89,-,8.62,11.07,11.93,5.09,8.48,11.45,6.15
1991M09,-,11.78,-,11.84,20.26,12.3,7.84,8.71,9.65,4.97
1991M10,-,14.18,-,14.82,24.58,18.88,8.92,9.8,6.16,4.75
1991M11,-,11.19,-,11.59,19.19,8.82,7.83,10.69,5.32,6.81
1991M12,-,12.05,-,12.14,19.82,10.31,8.57,10.54,8.41,5.44
1992M01,-,11.82,-,12.09,18.18,13.52,8.04,10.97,7.45,6.81
1992M02,-,7.85,-,7.6,14.75,7.51,7.74,0.99,10.59,8.21
1992M03,-,8.59,-,8.65,13.38,9.38,9.11,3.57,7.74,4.72
1992M04,-,9.7,-,9.94,10.96,9.96,12.73,6.84,6.38,4.89
1992M05,-,5.35,-,5.72,12.13,3.96,7.21,0.52,0.47,5.19
1992M06,-,6.23,-,6.5,15.4,6.56,5.19,0.05,1.87,7.26
1992M07,-,5.37,-,5.33,9.91,3.95,5.96,0.72,5.63,3.52
1992M08,-,1.4,-,0.9,7.92,-3.21,2.75,-4.04,5.63,3.35
1992M09,-,-1.66,-,-2.22,-0.9,-1.22,-1.92,-4.94,4.62,5.01
1992M10,-,-0.84,-,-1.43,-0.67,2.36,-3.93,-2.46,5.75,11.72
1992M11,-,-3.29,-,-3.91,-2.27,0,-4.58,-7.48,2.93,6.45
1992M12,-,1.11,-,0.69,2.15,8.01,0,-5.17,5.49,10.06
1993M01,-,-16.07,-,-17.11,-17.32,-17.16,-13.72,-20.98,-5.41,10.6
1993M02,-,19.96,-,20.38,27.88,31.76,13.29,13.8,14.28,7.52
1993M03,-,3.97,-,3.76,8.27,11.43,-0.8,-1.14,5.19,12.15
1993M04,-,1.91,-,1.45,6.97,8.56,-3.35,-4.47,5.99,10.29
1993M05,-,1.72,-,0.96,1.99,6.62,-0.66,-3.49,10.29,9.71
1993M06,-,2.11,-,1.43,-0.24,7.65,3.94,-5.01,9.3,8.01
1993M07,-,4.68,-,4.06,4.26,8.91,5.87,-2.61,10.75,10.72
1993M08,-,3.83,-,3.24,2.05,13.29,3.68,-4.45,10.49,9.73
1993M09,-,7.3,-,7,3.58,18.31,8.17,-0.17,11.18,6.01
1993M10,-,2.39,-,1.85,-1.2,9.41,4.76,-4.37,9.33,0.98
1993M11,-,3.88,-,3.29,-0.09,12.67,4.18,-2.12,12.76,2.61
1993M12,-,4.33,-,4.1,0.06,10.66,6.03,0.61,8.25,1.24
1994M01,-,21.26,-,21.65,22.15,35.31,16.38,18.33,18.8,-1
1994M02,-,-11.02,-,-11.82,-16.55,-10.09,-6.09,-13.95,-1.4,0.03
1994M03,-,5.23,-,4.93,2.8,10.26,6.28,1.19,8.3,-0.37
1994M04,-,6.04,-,5.49,4.81,6.65,6.45,4.2,15.25,2.09
1994M05,-,6.05,-,5.68,4.96,12.11,6.69,0.65,12.53,0.91
1994M06,-,8.76,-,8.72,5.55,15.3,10.78,4.87,11.66,3.33
1994M07,-,2.14,-,2.12,1.27,7.58,3.15,-1.57,4.46,3.76
1994M08,-,3.14,-,3.53,-0.02,10.8,2.98,2.56,1.02,4.45
1994M09,-,4.82,-,4.88,5.29,9.97,3.04,3.07,4.23,9.2
1994M10,-,7.34,-,7.18,11.19,11.46,6.22,1.18,9.08,9.13
1994M11,-,12.6,-,12.77,14.37,19.04,11.98,6.76,8.89,10.26
1994M12,-,6.01,-,5.55,5.95,13.97,2.95,0.7,9.66,10.08
1995M01,-,5.86,-,5.88,8.42,12.97,4.21,-1.62,5.5,13.52
1995M02,-,13.13,-,13.27,13.5,28.14,8.24,4.9,11.52,12.07
1995M03,-,10.16,-,10.32,10.89,22.02,5.93,2.63,8,9.85
1995M04,-,4.97,-,5.02,2.14,15.51,7.5,-4.2,3.81,3.93
1995M05,-,10.2,-,10.82,10.45,20.36,9.07,3.28,4.61,0.69
1995M06,-,5.38,-,5.46,6.15,14.48,1.77,-1.15,6.58,-5.83
1995M07,-,5.83,-,5.82,5.21,16.76,3.2,-1.89,6.37,2.03
1995M08,-,7.41,-,7.24,6.94,18.8,4.76,-1.28,10.08,2.22
1995M09,-,4.46,-,4.02,4.41,15.43,0.88,-5.25,10.77,-1.88
1995M10,-,1.51,-,0.99,-2.81,13.67,-4.2,-1.91,9.92,-1.31
1995M11,-,-0.64,-,-0.85,-4.52,8.44,-3.72,-3.61,3.17,-2.31
1995M12,-,-1.69,-,-1.87,-6.25,5.15,0.04,-6.53,2,-4.18
1996M01,-,5.39,-,5.29,1.67,14.94,6.29,-1.27,16.76,-8.38
1996M02,-,0.61,-,0.34,-0.84,3.71,0.11,-2.05,13.15,-2.95
1996M03,-,-5.31,-,-5.93,-6.16,-2.8,-5.76,-9.48,11.2,-5.03
1996M04,-,1.54,-,1.65,3.49,5.77,-1.08,-2.22,7.73,-1.15
1996M05,-,-1.06,-,-1.18,-1.33,1.61,-1.19,-4.39,6.1,0.05
1996M06,-,-0.1,-,-0.77,-0.16,-0.23,0.56,-3.49,13.8,9.03
1996M07,-,2.89,-,2.5,-0.41,3.02,7,0.43,14.92,-2.09
1996M08,-,2.47,-,2.4,3.97,-1.41,6.31,0.78,10.2,-0.91
1996M09,-,2.42,-,2.02,-2.16,2.34,6.96,1.44,14.69,3.91
1996M10,-,7.7,-,7.94,3.47,12.74,14.27,0.48,12.55,1.28
1996M11,-,7.66,-,7.65,7.23,12.66,10.36,-1.05,17.94,-1.9
1996M12,-,10.56,-,10.85,17.69,15.15,9.22,-0.43,16.42,5.09
1997M01,6.01,5.96,-2.36,5.91,9.38,5.05,6.5,2.14,7.43,8.06
1997M02,1.53,1.54,-14.61,1.4,1.81,3.29,4.32,-4.65,3.64,3.09
1997M03,10.82,10.78,-6.06,11.04,11.1,13.26,13.27,5.68,8.7,-9.95
1997M04,7.14,7.1,-3.7,6.82,8.2,11.03,7.44,-0.69,11.2,6.33
1997M05,7.16,7.12,12.75,6.68,9.29,9.06,7.12,-0.03,13.59,3.35
1997M06,5.06,5.11,4.57,5.71,8.27,10.56,3.65,-1.38,-1.53,1.15
1997M07,7.29,7.29,1.47,7.7,10.31,14.64,5.46,-1.29,2.9,3.67
1997M08,5.83,5.89,2.1,5.73,6.01,16.41,1.9,-2.99,8.18,2.25
1997M09,8.28,8.27,4.06,8.92,12.39,19.7,3.24,-2.46,1.65,1.62
1997M10,10.67,10.74,3.87,11,19.19,20.06,1.69,-0.11,8.11,1.87
1997M11,5.64,5.63,-3.62,5.65,9.42,15.67,-1.93,-4.07,5.18,6.5
1997M12,8.88,8.94,3.8,8.87,9.89,20.45,1.89,0.02,9.87,3.27
1998M01,-6.5,-6.55,-9.08,-7.02,-8.95,1.37,-7.94,-13.84,-0.06,4.23
1998M02,20.49,20.45,2.53,21.05,23.04,40.03,9.31,9.21,15.82,5.54
1998M03,3.95,3.91,-6.9,3.89,3.87,14.97,-0.91,-5.43,5.91,22.9
